,Unnamed: 0,survived,pclass,age,sibsp,parch,fare,adult_male,alone,sex_female,embarked_C,embarked_Q,embarked_S,class_First,class_Second,class_Third,who_child,who_man,who_woman,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,alive
18,18,0,3,31.0,1,0,18.0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,20,0,2,35.0,0,0,26.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
21,21,1,2,34.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True
22,22,1,3,15.0,0,0,8.0292,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True
23,23,1,1,28.0,0,0,35.5,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True
24,24,0,3,8.0,3,1,21.075,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
25,25,1,3,38.0,1,5,31.3875,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
27,27,0,1,19.0,3,2,263.0,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
30,30,0,1,40.0,0,0,27.7208,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
33,33,0,2,66.0,0,0,10.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
34,34,0,1,28.0,1,0,82.1708,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
35,35,0,1,42.0,1,0,52.0,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
37,37,0,3,21.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
38,38,0,3,18.0,2,0,18.0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
39,39,1,3,14.0,1,0,11.2417,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True
40,40,0,3,40.0,1,0,9.475,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
41,41,0,2,27.0,1,0,21.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
43,43,1,2,3.0,1,2,41.5792,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
44,44,1,3,19.0,0,0,7.8792,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
49,49,0,3,18.0,1,0,17.8,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
50,50,0,3,7.0,4,1,39.6875,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
51,51,0,3,21.0,0,0,7.8,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
52,52,1,1,49.0,1,0,76.7292,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
53,53,1,2,29.0,1,0,26.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
54,54,0,1,65.0,0,1,61.9792,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
56,56,1,2,21.0,0,0,10.5,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
57,57,0,3,28.5,0,0,7.2292,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
58,58,1,2,5.0,1,2,27.75,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
59,59,0,3,11.0,5,2,46.9,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
60,60,0,3,22.0,0,0,7.2292,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
61,61,1,1,38.0,0,0,80.0,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
62,62,0,1,45.0,1,0,83.475,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
63,63,0,3,4.0,3,2,27.9,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
66,66,1,2,29.0,0,0,10.5,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
67,67,0,3,19.0,0,0,8.1583,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
68,68,1,3,17.0,4,2,7.925,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
69,69,0,3,26.0,2,0,8.6625,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
70,70,0,2,32.0,0,0,10.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
71,71,0,3,16.0,5,2,46.9,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
72,72,0,2,21.0,0,0,73.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
73,73,0,3,26.0,1,0,14.4542,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
74,74,1,3,32.0,0,0,56.4958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
75,75,0,3,25.0,0,0,7.65,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
78,78,1,2,0.83,0,2,29.0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
79,79,1,3,30.0,0,0,12.475,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
80,80,0,3,22.0,0,0,9.0,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
81,81,1,3,29.0,0,0,9.5,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
83,83,0,1,28.0,0,0,47.1,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
84,84,1,2,17.0,0,0,10.5,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
85,85,1,3,33.0,3,0,15.85,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
86,86,0,3,16.0,1,3,34.375,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
88,88,1,1,23.0,3,2,263.0,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
89,89,0,3,24.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
90,90,0,3,29.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
91,91,0,3,20.0,0,0,7.8542,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
92,92,0,1,46.0,1,0,61.175,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
93,93,0,3,26.0,1,2,20.575,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
94,94,0,3,59.0,0,0,7.25,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
96,96,0,1,71.0,0,0,34.6542,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
97,97,1,1,23.0,0,1,63.3583,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
98,98,1,2,34.0,0,1,23.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
99,99,0,2,34.0,1,0,26.0,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
100,100,0,3,28.0,0,0,7.8958,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
102,102,0,1,21.0,0,1,77.2875,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
103,103,0,3,33.0,0,0,8.6542,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
104,104,0,3,37.0,2,0,7.925,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
105,105,0,3,28.0,0,0,7.8958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
106,106,1,3,21.0,0,0,7.65,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
108,108,0,3,38.0,0,0,7.8958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
110,110,0,1,47.0,0,0,52.0,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
111,111,0,3,14.5,1,0,14.4542,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
112,112,0,3,22.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
113,113,0,3,20.0,1,0,9.825,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
114,114,0,3,17.0,0,0,14.4583,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
115,115,0,3,21.0,0,0,7.925,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
116,116,0,3,70.5,0,0,7.75,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
117,117,0,2,29.0,1,0,21.0,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
118,118,0,1,24.0,0,1,247.5208,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
119,119,0,3,2.0,4,2,31.275,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
120,120,0,2,21.0,2,0,73.5,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
122,122,0,2,32.5,1,0,30.0708,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
123,123,1,2,32.5,0,0,13.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
124,124,0,1,54.0,0,1,77.2875,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
125,125,1,3,12.0,1,0,11.2417,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True
127,127,1,3,24.0,0,0,7.1417,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
129,129,0,3,45.0,0,0,6.975,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
130,130,0,3,33.0,0,0,7.8958,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
131,131,0,3,20.0,0,0,7.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
132,132,0,3,47.0,1,0,14.5,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
133,133,1,2,29.0,1,0,26.0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
134,134,0,2,25.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
135,135,0,2,23.0,0,0,15.0458,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
136,136,1,1,19.0,0,2,26.2833,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True
137,137,0,1,37.0,1,0,53.1,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
138,138,0,3,16.0,0,0,9.2167,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
139,139,0,1,24.0,0,0,79.2,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
141,141,1,3,22.0,0,0,7.75,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
142,142,1,3,24.0,1,0,15.85,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
143,143,0,3,19.0,0,0,6.75,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
144,144,0,2,18.0,0,0,11.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
145,145,0,2,19.0,1,1,36.75,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
146,146,1,3,27.0,0,0,7.7958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
147,147,0,3,9.0,2,2,34.375,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
148,148,0,2,36.5,0,2,26.0,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
149,149,0,2,42.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
150,150,0,2,51.0,0,0,12.525,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
151,151,1,1,22.0,1,0,66.6,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
152,152,0,3,55.5,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
153,153,0,3,40.5,0,2,14.5,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
155,155,0,1,51.0,0,1,61.3792,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
156,156,1,3,16.0,0,0,7.7333,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
157,157,0,3,30.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
160,160,0,3,44.0,0,1,16.1,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
161,161,1,2,40.0,0,0,15.75,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
162,162,0,3,26.0,0,0,7.775,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
163,163,0,3,17.0,0,0,8.6625,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
164,164,0,3,1.0,4,1,39.6875,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
165,165,1,3,9.0,0,2,20.525,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
167,167,0,3,45.0,1,4,27.9,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
169,169,0,3,28.0,0,0,56.4958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
170,170,0,1,61.0,0,0,33.5,True,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
171,171,0,3,4.0,4,1,29.125,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
172,172,1,3,1.0,1,1,11.1333,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
173,173,0,3,21.0,0,0,7.925,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
174,174,0,1,56.0,0,0,30.6958,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
175,175,0,3,18.0,1,1,7.8542,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
177,177,0,1,50.0,0,0,28.7125,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
178,178,0,2,30.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
179,179,0,3,36.0,0,0,0.0,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
182,182,0,3,9.0,4,2,31.3875,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
183,183,1,2,1.0,2,1,39.0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True
184,184,1,3,4.0,0,2,22.025,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
187,187,1,1,45.0,0,0,26.55,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
188,188,0,3,40.0,1,1,15.5,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
189,189,0,3,36.0,0,0,7.8958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
190,190,1,2,32.0,0,0,13.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
191,191,0,2,19.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
192,192,1,3,19.0,1,0,7.8542,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
193,193,1,2,3.0,1,1,26.0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True
194,194,1,1,44.0,0,0,27.7208,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
195,195,1,1,58.0,0,0,146.5208,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
197,197,0,3,42.0,0,1,8.4042,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
199,199,0,2,24.0,0,0,13.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
200,200,0,3,28.0,0,0,9.5,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
202,202,0,3,34.0,0,0,6.4958,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
203,203,0,3,45.5,0,0,7.225,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
204,204,1,3,18.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
205,205,0,3,2.0,0,1,10.4625,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False
206,206,0,3,32.0,1,0,15.85,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
207,207,1,3,26.0,0,0,18.7875,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
208,208,1,3,16.0,0,0,7.75,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
209,209,1,1,40.0,0,0,31.0,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True
210,210,0,3,24.0,0,0,7.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
211,211,1,2,35.0,0,0,21.0,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
212,212,0,3,22.0,0,0,7.25,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
213,213,0,2,30.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
215,215,1,1,31.0,1,0,113.275,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
216,216,1,3,27.0,0,0,7.925,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
217,217,0,2,42.0,1,0,27.0,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
218,218,1,1,32.0,0,0,76.2917,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
219,219,0,2,30.0,0,0,10.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
220,220,1,3,16.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True
221,221,0,2,27.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
222,222,0,3,51.0,0,0,8.05,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
224,224,1,1,38.0,1,0,90.0,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
225,225,0,3,22.0,0,0,9.35,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
226,226,1,2,19.0,0,0,10.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
227,227,0,3,20.5,0,0,7.25,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
228,228,0,2,18.0,0,0,13.0,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
230,230,1,1,35.0,1,0,83.475,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True
231,231,0,3,29.0,0,0,7.775,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
232,232,0,2,59.0,0,0,13.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
233,233,1,3,5.0,4,2,31.3875,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
234,234,0,2,24.0,0,0,10.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
236,236,0,2,44.0,1,0,26.0,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
237,237,1,2,8.0,0,2,26.25,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
238,238,0,2,19.0,0,0,10.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
239,239,0,2,33.0,0,0,12.275,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
242,242,0,2,29.0,0,0,10.5,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
243,243,0,3,22.0,0,0,7.125,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
244,244,0,3,30.0,0,0,7.225,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
245,245,0,1,44.0,2,0,90.0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
246,246,0,3,25.0,0,0,7.775,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
247,247,1,2,24.0,0,2,14.5,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
248,248,1,1,37.0,1,1,52.5542,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True
249,249,0,2,54.0,1,0,26.0,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
251,251,0,3,29.0,1,1,10.4625,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
252,252,0,1,62.0,0,0,26.55,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
253,253,0,3,30.0,1,0,16.1,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
254,254,0,3,41.0,0,2,20.2125,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
